,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,0.01,1.0,2.58458e-08
1,0.02,1.0,2.57766e-08
2,0.03,1.0,2.57826e-08
3,0.04,1.0,2.58017e-08
4,0.05,1.0,2.57957e-08
5,0.06,1.0,2.5779e-08
6,0.07,1.0,2.57933e-08
7,0.08,1.0,2.57802e-08
8,0.09,1.0,2.57897e-08
9,0.1,1.0,2.57874e-08
10,0.11,1.0,2.57814e-08
11,0.12,1.0,2.57552e-08
12,0.13,1.0,2.57409e-08
13,0.14,1.0,2.57421e-08
14,0.15,1.0,2.57564e-08
15,0.16,1.0,2.5754e-08
16,0.17,1.0,2.57671e-08
17,0.18,1.0,2.57802e-08
18,0.19,1.0,2.57838e-08
19,0.2,1.0,2.57826e-08
20,0.21,1.0,2.57802e-08
21,0.22,1.0,2.57802e-08
22,0.23,1.0,2.57754e-08
23,0.24,1.0,2.57742e-08
24,0.25,1.0,2.5754e-08
25,0.26,1.0,2.5748e-08
26,0.27,1.0,2.57611e-08
27,0.28,1.0,2.57444e-08
28,0.29,1.0,2.57611e-08
29,0.3,1.0,2.57623e-08
30,0.31,1.0,2.57647e-08
31,0.32,1.0,2.57695e-08
32,0.33,1.0,2.57647e-08
33,0.34,1.0,2.57683e-08
34,0.35,1.0,2.57659e-08
35,0.36,1.0,2.57647e-08
36,0.37,1.0,2.57576e-08
37,0.38,1.0,2.57409e-08
38,0.39,1.0,2.57385e-08
39,0.4,1.0,2.57373e-08
40,0.41,1.0,2.57444e-08
41,0.42,1.0,2.57587e-08
42,0.43,1.0,2.57587e-08
43,0.44,1.0,2.57647e-08
44,0.45,1.0,2.57647e-08
45,0.46,1.0,2.57635e-08
46,0.47,1.0,2.57611e-08
47,0.48,1.0,2.57647e-08
48,0.49,1.0,2.57564e-08
49,0.5,1.0,2.5754e-08
