,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-19.6,10.0,2.64184e-07
1,-19.2,10.0,2.63335e-07
2,-18.8,10.0,2.63294e-07
3,-18.4,10.0,2.63287e-07
4,-18.0,10.0,2.63295e-07
5,-17.6,10.0,2.63306e-07
6,-17.2,10.0,2.63306e-07
7,-16.8,10.0,2.63316e-07
8,-16.4,10.0,2.63329e-07
9,-16.0,10.0,2.63324e-07
10,-15.6,10.0,2.63331e-07
11,-15.2,10.0,2.63322e-07
12,-14.8,10.0,2.63325e-07
13,-14.4,10.0,2.63337e-07
14,-14.0,10.0,2.63336e-07
15,-13.6,10.0,2.63341e-07
16,-13.2,10.0,2.63348e-07
17,-12.8,10.0,2.63355e-07
18,-12.4,10.0,2.63375e-07
19,-12.0,10.0,2.63374e-07
20,-11.6,10.0,2.63387e-07
21,-11.2,10.0,2.63393e-07
22,-10.8,10.0,2.63405e-07
23,-10.4,10.0,2.63411e-07
24,-10.0,10.0,2.63413e-07
25,-9.6,10.0,2.63421e-07
26,-9.2,10.0,2.63435e-07
27,-8.8,10.0,2.63437e-07
28,-8.4,10.0,2.63438e-07
29,-8.0,10.0,2.63437e-07
30,-7.6,10.0,2.63428e-07
31,-7.2,10.0,2.63429e-07
32,-6.8,10.0,2.6344e-07
33,-6.4,10.0,2.63447e-07
34,-6.0,10.0,2.63448e-07
35,-5.6,10.0,2.63446e-07
36,-5.2,10.0,2.63449e-07
37,-4.8,10.0,2.63478e-07
38,-4.4,10.0,2.63484e-07
39,-4.0,10.0,2.63484e-07
40,-3.6,10.0,2.63461e-07
41,-3.2,10.0,2.63451e-07
42,-2.8,10.0,2.6345e-07
43,-2.4,10.0,2.63453e-07
44,-2.0,10.0,2.63452e-07
45,-1.6,10.0,2.63442e-07
46,-1.2,10.0,2.63436e-07
47,-0.799999,10.0,2.63444e-07
48,-0.4,10.0,2.63454e-07
49,0.0,10.0,2.63468e-07
50,0.4,10.0,2.63472e-07
51,0.800001,10.0,2.63473e-07
52,1.2,10.0,2.63472e-07
53,1.6,10.0,2.63466e-07
54,2.0,10.0,2.63456e-07
55,2.4,10.0,2.63461e-07
56,2.8,10.0,2.63466e-07
57,3.2,10.0,2.63471e-07
58,3.6,10.0,2.63465e-07
59,4.0,10.0,2.63457e-07
60,4.4,10.0,2.63463e-07
61,4.8,10.0,2.63475e-07
62,5.2,10.0,2.63471e-07
63,5.6,10.0,2.63461e-07
64,6.0,10.0,2.63442e-07
65,6.4,10.0,2.63446e-07
66,6.8,10.0,2.63451e-07
67,7.2,10.0,2.63462e-07
68,7.6,10.0,2.63456e-07
69,8.0,10.0,2.63438e-07
70,8.4,10.0,2.63448e-07
71,8.8,10.0,2.6346e-07
72,9.2,10.0,2.63451e-07
73,9.6,10.0,2.63427e-07
74,10.0,10.0,2.63402e-07
75,10.4,10.0,2.63393e-07
76,10.8,10.0,2.63408e-07
77,11.2,10.0,2.63394e-07
78,11.6,10.0,2.63387e-07
79,12.0,10.0,2.63358e-07
80,12.4,10.0,2.63345e-07
81,12.8,10.0,2.63356e-07
82,13.2,10.0,2.63374e-07
83,13.6,10.0,2.63368e-07
84,14.0,10.0,2.6336e-07
85,14.4,10.0,2.63355e-07
86,14.8,10.0,2.6335e-07
87,15.2,10.0,2.63357e-07
88,15.6,10.0,2.63353e-07
89,16.0,10.0,2.63334e-07
90,16.4,10.0,2.63328e-07
91,16.8,10.0,2.63331e-07
92,17.2,10.0,2.6334e-07
93,17.6,10.0,2.63339e-07
94,18.0,10.0,2.63329e-07
95,18.4,10.0,2.63308e-07
96,18.8,10.0,2.63312e-07
97,19.2,10.0,2.63315e-07
98,19.6,10.0,2.63319e-07
99,20.0,10.0,2.63311e-07
