,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-19.6,0.0,9.65595e-11
1,-19.2,0.0,6.79493e-11
2,-18.8,0.0,5.48363e-11
3,-18.4,0.0,4.17232e-11
4,-18.0,0.0,5.96046e-11
5,-17.6,0.0,9.17912e-11
6,-17.2,0.0,1.0848e-10
7,-16.8,0.0,1.35899e-10
8,-16.4,0.0,1.16825e-10
9,-16.0,0.0,1.2517e-10
10,-15.6,0.0,8.46386e-11
11,-15.2,0.0,3.8147e-11
12,-14.8,0.0,5.24521e-11
13,-14.4,0.0,5.84126e-11
14,-14.0,0.0,7.27177e-11
15,-13.6,0.0,1.2517e-10
16,-13.2,0.0,1.33514e-10
17,-12.8,0.0,1.49012e-10
18,-12.4,0.0,1.18017e-10
19,-12.0,0.0,8.70228e-11
20,-11.6,0.0,5.48363e-11
21,-11.2,0.0,4.05312e-11
22,-10.8,0.0,5.96046e-11
23,-10.4,0.0,7.62939e-11
24,-10.0,0.0,1.18017e-10
25,-9.6,0.0,1.44243e-10
26,-9.2,0.0,1.50204e-10
27,-8.8,0.0,1.29938e-10
28,-8.4,0.0,7.86781e-11
29,-8.0,0.0,3.45707e-11
30,-7.6,0.0,2.38419e-11
31,-7.2,0.0,6.4373e-11
32,-6.8,0.0,1.0252e-10
33,-6.4,0.0,1.5378e-10
34,-6.0,0.0,1.5378e-10
35,-5.6,0.0,1.49012e-10
36,-5.2,0.0,9.17912e-11
37,-4.8,0.0,2.74181e-11
38,-4.4,0.0,3.21865e-11
39,-4.0,0.0,6.19888e-11
40,-3.6,0.0,1.39475e-10
41,-3.2,0.0,1.65701e-10
42,-2.8,0.0,1.70469e-10
43,-2.4,0.0,1.49012e-10
44,-2.0,0.0,5.48363e-11
45,-1.6,0.0,8.34465e-12
46,-1.2,0.0,3.8147e-11
47,-0.799999,0.0,8.58307e-11
48,-0.4,0.0,1.46627e-10
49,0.0,0.0,1.95503e-10
50,0.4,0.0,1.80006e-10
51,0.800001,0.0,9.17912e-11
52,1.2,0.0,5.36442e-11
53,1.6,0.0,2.5034e-11
54,2.0,0.0,5.24521e-11
55,2.4,0.0,1.57356e-10
56,2.8,0.0,1.85966e-10
57,3.2,0.0,1.64509e-10
58,3.6,0.0,9.65595e-11
59,4.0,0.0,4.05312e-11
60,4.4,0.0,1.3113e-11
61,4.8,0.0,3.8147e-11
62,5.2,0.0,9.17912e-11
63,5.6,0.0,1.41859e-10
64,6.0,0.0,1.72853e-10
65,6.4,0.0,1.5378e-10
66,6.8,0.0,1.0848e-10
67,7.2,0.0,5.84126e-11
68,7.6,0.0,2.38419e-11
69,8.0,0.0,4.64916e-11
70,8.4,0.0,7.62939e-11
71,8.8,0.0,1.40667e-10
72,9.2,0.0,1.68085e-10
73,9.6,0.0,1.58548e-10
74,10.0,0.0,1.0252e-10
75,10.4,0.0,6.91414e-11
76,10.8,0.0,3.93391e-11
77,11.2,0.0,5.84126e-11
78,11.6,0.0,8.82149e-11
79,12.0,0.0,1.44243e-10
80,12.4,0.0,1.58548e-10
81,12.8,0.0,1.68085e-10
82,13.2,0.0,1.28746e-10
83,13.6,0.0,1.0252e-10
84,14.0,0.0,5.48363e-11
85,14.4,0.0,5.36442e-11
86,14.8,0.0,6.31809e-11
87,15.2,0.0,9.29832e-11
88,15.6,0.0,1.26362e-10
89,16.0,0.0,1.57356e-10
90,16.4,0.0,1.69277e-10
91,16.8,0.0,1.41859e-10
92,17.2,0.0,9.41753e-11
93,17.6,0.0,5.36442e-11
94,18.0,0.0,3.69549e-11
95,18.4,0.0,7.39098e-11
96,18.8,0.0,1.16825e-10
97,19.2,0.0,1.56164e-10
98,19.6,0.0,3.52859e-10
99,20.0,0.0,3.45707e-11
