,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-9.8,8.0,2.6381e-10
1,-9.6,8.0,1.96338e-10
2,-9.4,8.0,1.9145e-10
3,-9.2,8.0,1.90735e-10
4,-9.0,8.0,1.98603e-10
5,-8.8,8.0,1.93357e-10
6,-8.6,8.0,1.92881e-10
7,-8.4,8.0,1.93954e-10
8,-8.2,8.0,1.94192e-10
9,-8.0,8.0,1.9443e-10
10,-7.8,8.0,1.94311e-10
11,-7.6,8.0,1.93e-10
12,-7.4,8.0,1.97411e-10
13,-7.2,8.0,1.95265e-10
14,-7.0,8.0,1.98245e-10
15,-6.8,8.0,1.97053e-10
16,-6.6,8.0,1.9896e-10
17,-6.4,8.0,1.97768e-10
18,-6.2,8.0,1.96934e-10
19,-6.0,8.0,1.98841e-10
20,-5.8,8.0,1.9896e-10
21,-5.6,8.0,1.97053e-10
22,-5.4,8.0,1.97291e-10
23,-5.2,8.0,1.98364e-10
24,-5.0,8.0,1.97649e-10
25,-4.8,8.0,1.98364e-10
26,-4.6,8.0,1.98483e-10
27,-4.4,8.0,1.98722e-10
28,-4.2,8.0,1.96457e-10
29,-4.0,8.0,2.00629e-10
30,-3.8,8.0,1.99556e-10
31,-3.6,8.0,1.94073e-10
32,-3.4,8.0,1.98126e-10
33,-3.2,8.0,1.99676e-10
34,-3.0,8.0,1.95265e-10
35,-2.8,8.0,1.99199e-10
36,-2.6,8.0,1.96934e-10
37,-2.4,8.0,1.93357e-10
38,-2.2,8.0,1.97649e-10
39,-2.0,8.0,1.95622e-10
40,-1.8,8.0,1.90854e-10
41,-1.6,8.0,1.9145e-10
42,-1.4,8.0,1.91689e-10
43,-1.2,8.0,1.88589e-10
44,-1.0,8.0,1.90735e-10
45,-0.8,8.0,1.9455e-10
46,-0.599999,8.0,1.96457e-10
47,-0.4,8.0,1.93834e-10
48,-0.2,8.0,1.9753e-10
49,0.0,8.0,1.96457e-10
50,0.2,8.0,1.93238e-10
51,0.400001,8.0,1.91927e-10
52,0.6,8.0,1.97291e-10
53,0.8,8.0,1.94311e-10
54,1.0,8.0,1.92165e-10
55,1.2,8.0,1.94192e-10
56,1.4,8.0,1.9598e-10
57,1.6,8.0,1.96218e-10
58,1.8,8.0,1.97649e-10
59,2.0,8.0,1.96695e-10
60,2.2,8.0,1.93954e-10
61,2.4,8.0,1.94311e-10
62,2.6,8.0,1.95026e-10
63,2.8,8.0,1.93357e-10
64,3.0,8.0,1.93954e-10
65,3.2,8.0,1.93238e-10
66,3.4,8.0,1.97172e-10
67,3.6,8.0,1.96218e-10
68,3.8,8.0,1.96457e-10
69,4.0,8.0,1.95265e-10
70,4.2,8.0,1.97887e-10
71,4.4,8.0,1.94669e-10
72,4.6,8.0,1.93119e-10
73,4.8,8.0,1.90377e-10
74,5.0,8.0,1.8692e-10
75,5.2,8.0,1.9145e-10
76,5.4,8.0,1.94669e-10
77,5.6,8.0,1.899e-10
78,5.8,8.0,1.92523e-10
79,6.0,8.0,1.9002e-10
80,6.2,8.0,1.90377e-10
81,6.4,8.0,1.93596e-10
82,6.6,8.0,1.91331e-10
83,6.8,8.0,1.90496e-10
84,7.0,8.0,1.9145e-10
85,7.2,8.0,1.91689e-10
86,7.4,8.0,1.899e-10
87,7.6,8.0,1.85966e-10
88,7.8,8.0,1.86563e-10
89,8.0,8.0,1.90139e-10
90,8.2,8.0,1.92642e-10
91,8.4,8.0,1.89185e-10
92,8.6,8.0,1.89185e-10
93,8.8,8.0,1.90973e-10
94,9.0,8.0,1.899e-10
95,9.2,8.0,1.93834e-10
96,9.4,8.0,1.90735e-10
97,9.6,8.0,1.89066e-10
98,9.8,8.0,1.90854e-10
99,10.0,8.0,1.93596e-10
