,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,0.0,5.0,8.57437e-07
1,0.0,5.0,8.56192e-07
2,0.0,5.0,8.5608e-07
3,0.0,5.0,8.56003e-07
4,0.0,5.0,8.55927e-07
5,0.0,5.0,8.55892e-07
6,0.0,5.0,8.55899e-07
7,0.0,5.0,8.55846e-07
8,0.0,5.0,8.55852e-07
9,0.0,5.0,8.55764e-07
10,0.0,5.0,8.55653e-07
11,0.0,5.0,8.55501e-07
12,0.0,5.0,8.55362e-07
13,0.0,5.0,8.5533e-07
14,0.0,5.0,8.55371e-07
15,0.0,5.0,8.55398e-07
16,0.0,5.0,8.55376e-07
17,0.0,5.0,8.55395e-07
18,0.0,5.0,8.5548e-07
19,0.0,5.0,8.55497e-07
20,0.0,5.0,8.55521e-07
21,0.0,5.0,8.55513e-07
22,0.0,5.0,8.55505e-07
23,0.0,5.0,8.55516e-07
24,0.0,5.0,8.55714e-07
25,0.0,5.0,8.5592e-07
26,0.0,5.0,8.56001e-07
27,0.0,5.0,8.56019e-07
28,0.0,5.0,8.55987e-07
29,0.0,5.0,8.55891e-07
30,0.0,5.0,8.55818e-07
31,0.0,5.0,8.55693e-07
32,0.0,5.0,8.55654e-07
33,0.0,5.0,8.5562e-07
34,0.0,5.0,8.55597e-07
35,0.0,5.0,8.5556e-07
36,0.0,5.0,8.55514e-07
37,0.0,5.0,8.55519e-07
38,0.0,5.0,8.55445e-07
39,0.0,5.0,8.55373e-07
40,0.0,5.0,8.55324e-07
41,0.0,5.0,8.55352e-07
42,0.0,5.0,8.55349e-07
43,0.0,5.0,8.55335e-07
44,0.0,5.0,8.55345e-07
45,0.0,5.0,8.55302e-07
46,0.0,5.0,8.55304e-07
47,0.0,5.0,8.55288e-07
48,0.0,5.0,8.55252e-07
49,0.0,5.0,8.55213e-07
50,0.0,5.0,8.55203e-07
51,0.0,5.0,8.55268e-07
52,0.0,5.0,8.55372e-07
53,0.0,5.0,8.55451e-07
54,0.0,5.0,8.55505e-07
55,0.0,5.0,8.55482e-07
56,0.0,5.0,8.55583e-07
57,0.0,5.0,8.55798e-07
58,0.0,5.0,8.55895e-07
59,0.0,5.0,8.55881e-07
60,0.0,5.0,8.55885e-07
61,0.0,5.0,8.55911e-07
62,0.0,5.0,8.55942e-07
63,0.0,5.0,8.558e-07
64,0.0,5.0,8.55842e-07
65,0.0,5.0,8.56072e-07
66,0.0,5.0,8.56214e-07
67,0.0,5.0,8.56214e-07
68,0.0,5.0,8.56136e-07
69,0.0,5.0,8.5611e-07
70,0.0,5.0,8.56025e-07
71,0.0,5.0,8.55936e-07
72,0.0,5.0,8.55889e-07
73,0.0,5.0,8.55796e-07
74,0.0,5.0,8.55765e-07
75,0.0,5.0,8.55743e-07
76,0.0,5.0,8.55685e-07
77,0.0,5.0,8.55641e-07
78,0.0,5.0,8.55578e-07
79,0.0,5.0,8.55508e-07
80,0.0,5.0,8.55499e-07
81,0.0,5.0,8.55473e-07
82,0.0,5.0,8.55446e-07
83,0.0,5.0,8.55411e-07
84,0.0,5.0,8.55365e-07
85,0.0,5.0,8.5534e-07
86,0.0,5.0,8.55308e-07
87,0.0,5.0,8.55272e-07
88,0.0,5.0,8.55252e-07
89,0.0,5.0,8.55222e-07
90,0.0,5.0,8.55161e-07
91,0.0,5.0,8.55091e-07
92,0.0,5.0,8.55116e-07
93,0.0,5.0,8.55125e-07
94,0.0,5.0,8.55161e-07
95,0.0,5.0,8.55198e-07
96,0.0,5.0,8.55203e-07
97,0.0,5.0,8.55204e-07
98,0.0,5.0,8.55197e-07
99,0.0,5.0,8.5516e-07
