,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,0.0,8.0,2.11556e-07
1,0.0,8.0,2.10893e-07
2,0.0,8.0,2.10844e-07
3,0.0,8.0,2.10823e-07
4,0.0,8.0,2.10814e-07
5,0.0,8.0,2.10826e-07
6,0.0,8.0,2.10826e-07
7,0.0,8.0,2.10804e-07
8,0.0,8.0,2.10811e-07
9,0.0,8.0,2.10834e-07
10,0.0,8.0,2.10829e-07
11,0.0,8.0,2.10828e-07
12,0.0,8.0,2.10831e-07
13,0.0,8.0,2.1084e-07
14,0.0,8.0,2.10862e-07
15,0.0,8.0,2.10872e-07
16,0.0,8.0,2.10861e-07
17,0.0,8.0,2.10856e-07
18,0.0,8.0,2.10864e-07
19,0.0,8.0,2.10876e-07
20,0.0,8.0,2.10882e-07
21,0.0,8.0,2.10872e-07
22,0.0,8.0,2.10855e-07
23,0.0,8.0,2.10849e-07
24,0.0,8.0,2.10855e-07
25,0.0,8.0,2.10887e-07
26,0.0,8.0,2.10869e-07
27,0.0,8.0,2.1085e-07
28,0.0,8.0,2.10852e-07
29,0.0,8.0,2.10859e-07
30,0.0,8.0,2.10862e-07
31,0.0,8.0,2.10869e-07
32,0.0,8.0,2.10864e-07
33,0.0,8.0,2.10864e-07
34,0.0,8.0,2.10871e-07
35,0.0,8.0,2.10871e-07
36,0.0,8.0,2.10871e-07
37,0.0,8.0,2.10865e-07
38,0.0,8.0,2.10872e-07
39,0.0,8.0,2.1087e-07
40,0.0,8.0,2.10859e-07
41,0.0,8.0,2.10847e-07
42,0.0,8.0,2.10844e-07
43,0.0,8.0,2.10856e-07
44,0.0,8.0,2.10865e-07
45,0.0,8.0,2.10862e-07
46,0.0,8.0,2.10854e-07
47,0.0,8.0,2.10845e-07
48,0.0,8.0,2.10851e-07
49,0.0,8.0,2.10855e-07
50,0.0,8.0,2.10853e-07
51,0.0,8.0,2.10846e-07
52,0.0,8.0,2.10831e-07
53,0.0,8.0,2.10815e-07
54,0.0,8.0,2.10825e-07
55,0.0,8.0,2.10841e-07
56,0.0,8.0,2.10851e-07
57,0.0,8.0,2.10836e-07
58,0.0,8.0,2.10822e-07
59,0.0,8.0,2.10819e-07
60,0.0,8.0,2.10829e-07
61,0.0,8.0,2.10837e-07
62,0.0,8.0,2.10843e-07
63,0.0,8.0,2.10826e-07
64,0.0,8.0,2.10811e-07
65,0.0,8.0,2.10815e-07
66,0.0,8.0,2.10841e-07
67,0.0,8.0,2.10844e-07
68,0.0,8.0,2.10843e-07
69,0.0,8.0,2.10833e-07
70,0.0,8.0,2.1083e-07
71,0.0,8.0,2.10835e-07
72,0.0,8.0,2.10845e-07
73,0.0,8.0,2.10861e-07
74,0.0,8.0,2.10847e-07
75,0.0,8.0,2.10836e-07
76,0.0,8.0,2.10841e-07
77,0.0,8.0,2.10848e-07
78,0.0,8.0,2.10849e-07
79,0.0,8.0,2.10849e-07
80,0.0,8.0,2.10837e-07
81,0.0,8.0,2.10827e-07
82,0.0,8.0,2.10828e-07
83,0.0,8.0,2.10839e-07
84,0.0,8.0,2.10837e-07
85,0.0,8.0,2.10825e-07
86,0.0,8.0,2.10819e-07
87,0.0,8.0,2.10806e-07
88,0.0,8.0,2.10811e-07
89,0.0,8.0,2.10815e-07
90,0.0,8.0,2.10811e-07
91,0.0,8.0,2.10805e-07
92,0.0,8.0,2.10798e-07
93,0.0,8.0,2.10797e-07
94,0.0,8.0,2.10799e-07
95,0.0,8.0,2.10784e-07
96,0.0,8.0,2.10775e-07
97,0.0,8.0,2.10768e-07
98,0.0,8.0,2.10765e-07
99,0.0,8.0,2.10752e-07
