Channel Current [A]	Channel Voltage [V]	Gate Leakage [A]	Gate Voltage [V]
-1.65337e-09	-50.0	-2.07541e-11	-100.0
-1.52011e-09	-50.0	-8.03285e-12	-98.0
-1.40758e-09	-50.0	2.54512e-14	-96.0
-1.30145e-09	-50.0	5.30211e-12	-94.0
-1.20529e-09	-50.0	1.3068e-11	-92.0
-1.11347e-09	-50.0	1.86859e-11	-90.0
-1.03436e-09	-50.0	2.41166e-11	-88.0
-9.52662e-10	-50.0	1.74076e-11	-86.0
-8.79945e-10	-50.0	2.05592e-11	-84.0
-8.1001e-10	-50.0	2.21239e-11	-82.0
-7.44153e-10	-50.0	2.53438e-11	-80.0
-6.82227e-10	-50.0	3.21266e-11	-78.0
-6.24966e-10	-50.0	3.27406e-11	-76.0
-5.70736e-10	-50.0	3.27083e-11	-74.0
-5.19632e-10	-50.0	2.95061e-11	-72.0
-4.72003e-10	-50.0	2.53383e-11	-70.0
-4.27371e-10	-50.0	2.70493e-11	-68.0
-3.8561e-10	-50.0	2.76112e-11	-66.0
-3.46783e-10	-50.0	2.81321e-11	-64.0
-3.10792e-10	-50.0	3.41924e-11	-62.0
-2.7745e-10	-50.0	3.52919e-11	-60.0
-2.47055e-10	-50.0	3.4896e-11	-58.0
-2.18897e-10	-50.0	3.29054e-11	-56.0
-1.92855e-10	-50.0	2.68757e-11	-54.0
-1.69375e-10	-50.0	2.57757e-11	-52.0
-1.48008e-10	-50.0	2.60674e-11	-50.0
-1.28652e-10	-50.0	2.71275e-11	-48.0
-1.11421e-10	-50.0	2.87779e-11	-46.0
-9.55449e-11	-50.0	2.54653e-11	-44.0
-8.25746e-11	-50.0	2.96358e-11	-42.0
-7.04108e-11	-50.0	2.72669e-11	-40.0
-6.00589e-11	-50.0	2.32379e-11	-38.0
-5.08668e-11	-50.0	3.20485e-11	-36.0
-4.33254e-11	-50.0	2.25851e-11	-34.0
-3.70182e-11	-50.0	3.21955e-11	-32.0
-3.16277e-11	-50.0	2.45941e-11	-30.0
-2.74597e-11	-50.0	3.14593e-11	-28.0
-2.37326e-11	-50.0	2.53239e-11	-26.0
-2.11062e-11	-50.0	3.04054e-11	-24.0
-1.8978e-11	-50.0	3.01108e-11	-22.0
-1.85454e-11	-50.0	2.67251e-11	-20.0
-1.91948e-11	-50.0	3.60771e-11	-18.0
-2.08884e-11	-50.0	2.99909e-11	-16.0
-2.41078e-11	-50.0	4.08885e-11	-14.0
-2.92136e-11	-50.0	3.66613e-11	-12.0
-3.69395e-11	-50.0	4.86456e-11	-10.0
-4.95666e-11	-50.0	4.72245e-11	-8.0
-6.91245e-11	-50.0	5.12791e-11	-6.0
-9.81685e-11	-50.0	5.35709e-11	-4.0
-1.33157e-10	-50.0	4.68215e-11	-2.0
-1.99642e-10	-50.0	4.32462e-11	0.0
-2.91166e-10	-50.0	4.45879e-11	2.0
-4.25405e-10	-50.0	4.98967e-11	4.0
-6.02963e-10	-50.0	5.74724e-11	6.0
-8.32906e-10	-50.0	6.07341e-11	8.0
-1.09679e-09	-50.0	6.85398e-11	10.0
-1.51596e-09	-50.0	8.35142e-11	12.0
-1.98714e-09	-50.0	9.60733e-11	14.0
-2.52286e-09	-50.0	1.0547e-10	16.0
-3.08055e-09	-50.0	1.29308e-10	18.0
-3.81671e-09	-50.0	1.40857e-10	20.0
-4.64844e-09	-50.0	1.65807e-10	22.0
-5.52932e-09	-50.0	1.76187e-10	24.0
-6.48047e-09	-50.0	1.97367e-10	26.0
-7.51818e-09	-50.0	2.09002e-10	28.0
-8.63484e-09	-50.0	2.34206e-10	30.0
-9.78865e-09	-50.0	2.47328e-10	32.0
-1.01275e-08	-50.0	2.75543e-10	34.0
-1.21918e-08	-50.0	2.95949e-10	36.0
-1.34585e-08	-50.0	3.30966e-10	38.0
-1.47205e-08	-50.0	3.55049e-10	40.0
-1.60083e-08	-50.0	3.80988e-10	42.0
-1.72421e-08	-50.0	4.18175e-10	44.0
-1.85149e-08	-50.0	4.38846e-10	46.0
-1.97962e-08	-50.0	4.71097e-10	48.0
-2.10336e-08	-50.0	5.06102e-10	50.0
-2.22734e-08	-50.0	5.2401e-10	52.0
-2.35337e-08	-50.0	5.54301e-10	54.0
-2.4734e-08	-50.0	5.83981e-10	56.0
-2.59059e-08	-50.0	6.05002e-10	58.0
-2.70196e-08	-50.0	6.40438e-10	60.0
-2.81207e-08	-50.0	6.57651e-10	62.0
-2.9153e-08	-50.0	6.79135e-10	64.0
-3.0158e-08	-50.0	7.09845e-10	66.0
-3.10868e-08	-50.0	7.22335e-10	68.0
-3.20066e-08	-50.0	7.42634e-10	70.0
-3.2884e-08	-50.0	7.74977e-10	72.0
-3.36908e-08	-50.0	7.85205e-10	74.0
-3.44243e-08	-50.0	8.10721e-10	76.0
-3.51304e-08	-50.0	8.33243e-10	78.0
-3.58068e-08	-50.0	8.43515e-10	80.0
-3.64464e-08	-50.0	8.73476e-10	82.0
-3.70515e-08	-50.0	8.76117e-10	84.0
-3.76523e-08	-50.0	8.88774e-10	86.0
-3.82359e-08	-50.0	9.15672e-10	88.0
-3.87607e-08	-50.0	9.18021e-10	90.0
-3.92002e-08	-50.0	9.30275e-10	92.0
-3.96116e-08	-50.0	9.4762e-10	94.0
-4.00036e-08	-50.0	9.47062e-10	96.0
-4.04112e-08	-50.0	9.74071e-10	98.0
-4.07718e-08	-50.0	9.7508e-10	100.0
