Channel Current [A]	Channel Voltage [V]
6.07967e-11	0.0
5.36442e-11	1.0
6.67572e-11	2.0
8.10623e-11	3.0
8.58307e-11	4.0
1.00136e-10	5.0
7.51018e-11	6.0
1.00136e-10	7.0
8.9407e-11	8.0
9.65595e-11	9.0
1.03712e-10	10.0
1.15633e-10	11.0
1.13249e-10	12.0
1.0848e-10	13.0
1.28746e-10	14.0
1.26362e-10	15.0
1.35899e-10	16.0
1.38283e-10	17.0
1.22786e-10	18.0
1.44243e-10	19.0
1.4782e-10	20.0
1.62125e-10	21.0
1.68085e-10	22.0
1.7643e-10	23.0
1.87159e-10	24.0
1.89543e-10	25.0
1.78814e-10	26.0
2.12193e-10	27.0
2.12193e-10	28.0
2.00272e-10	29.0
2.2769e-10	30.0
2.20537e-10	31.0
2.52724e-10	32.0
2.55108e-10	33.0
2.69413e-10	34.0
2.61068e-10	35.0
2.65837e-10	36.0
2.90871e-10	37.0
3.11136e-10	38.0
3.39746e-10	39.0
3.63588e-10	40.0
3.5882e-10	41.0
3.95775e-10	42.0
3.91006e-10	43.0
4.22001e-10	44.0
4.35114e-10	45.0
4.56572e-10	46.0
4.81606e-10	47.0
4.92334e-10	48.0
5.20945e-10	49.0
5.42402e-10	50.0
5.59092e-10	51.0
6.06775e-10	52.0
6.29425e-10	53.0
6.52075e-10	54.0
6.79493e-10	55.0
7.09295e-10	56.0
7.39098e-10	57.0
7.67708e-10	58.0
8.18968e-10	59.0
8.4877e-10	60.0
8.89301e-10	61.0
9.27448e-10	62.0
9.50098e-10	63.0
9.799e-10	64.0
1.03593e-09	65.0
1.0705e-09	66.0
1.12176e-09	67.0
1.16825e-09	68.0
1.20997e-09	69.0
1.25885e-09	70.0
1.30177e-09	71.0
1.36733e-09	72.0
1.40786e-09	73.0
1.45555e-09	74.0
1.52588e-09	75.0
1.56522e-09	76.0
1.62005e-09	77.0
1.69992e-09	78.0
1.73926e-09	79.0
1.80721e-09	80.0
1.8537e-09	81.0
1.94669e-09	82.0
2.01344e-09	83.0
2.05874e-09	84.0
2.13027e-09	85.0
2.2161e-09	86.0
2.30074e-09	87.0
2.38061e-09	88.0
2.44856e-09	89.0
2.53797e-09	90.0
2.6083e-09	91.0
2.68936e-09	92.0
2.77519e-09	93.0
2.87652e-09	94.0
2.94685e-09	95.0
3.05057e-09	96.0
3.1507e-09	97.0
3.23892e-09	98.0
3.3319e-09	99.0
3.43204e-09	100.0
