Channel Current [A]	Channel Voltage [V]	Gate Leakage [A]	Gate Voltage [V]
6.19888e-11	0.0	2.63901e-12	0.0
6.67572e-11	1.0	3.12721e-12	0.0
6.19888e-11	2.0	5.80436e-12	0.0
6.79493e-11	3.0	1.31456e-12	0.0
7.03335e-11	4.0	5.37791e-12	0.0
6.07967e-11	5.0	-1.05377e-12	0.0
6.79493e-11	6.0	1.69623e-12	0.0
6.07967e-11	7.0	4.6289e-13	0.0
7.7486e-11	8.0	-2.92962e-12	0.0
6.67572e-11	9.0	-8.95381e-14	0.0
9.29832e-11	10.0	-6.03952e-12	0.0
9.05991e-11	11.0	-2.7588e-12	0.0
7.7486e-11	12.0	-1.02206e-11	0.0
9.05991e-11	13.0	-7.82245e-12	0.0
8.46386e-11	14.0	-1.07918e-11	0.0
1.00136e-10	15.0	-1.47992e-11	0.0
9.29832e-11	16.0	-1.2835e-11	0.0
1.03712e-10	17.0	-1.99399e-11	0.0
1.06096e-10	18.0	-1.66713e-11	0.0
1.0252e-10	19.0	-2.12497e-11	0.0
1.19209e-10	20.0	-1.98505e-11	0.0
1.44243e-10	21.0	-1.81049e-11	0.0
1.49012e-10	22.0	-1.88354e-11	0.0
1.57356e-10	23.0	-1.39244e-11	0.0
1.51396e-10	24.0	-1.85754e-11	0.0
1.5974e-10	25.0	-1.34254e-11	0.0
1.77622e-10	26.0	-1.82366e-11	0.0
1.8239e-10	27.0	-1.79919e-11	0.0
1.7643e-10	28.0	-1.45714e-11	0.0
1.91927e-10	29.0	-1.88493e-11	0.0
1.8239e-10	30.0	-1.41821e-11	0.0
2.01464e-10	31.0	-1.93366e-11	0.0
2.08616e-10	32.0	-1.45703e-11	0.0
2.19345e-10	33.0	-1.98313e-11	0.0
2.22921e-10	34.0	-1.85987e-11	0.0
2.22921e-10	35.0	-1.61426e-11	0.0
2.31266e-10	36.0	-2.05934e-11	0.0
2.47955e-10	37.0	-1.6141e-11	0.0
2.6226e-10	38.0	-2.23159e-11	0.0
2.74181e-10	39.0	-1.91219e-11	0.0
2.93255e-10	40.0	-2.15482e-11	0.0
3.12328e-10	41.0	-2.25152e-11	0.0
3.24249e-10	42.0	-2.00189e-11	0.0
3.40939e-10	43.0	-2.4691e-11	0.0
3.48091e-10	44.0	-2.05436e-11	0.0
3.69549e-10	45.0	-2.69952e-11	0.0
3.85046e-10	46.0	-2.38862e-11	0.0
3.94583e-10	47.0	-2.57097e-11	0.0
4.3273e-10	48.0	-2.84683e-11	0.0
4.50611e-10	49.0	-2.49988e-11	0.0
4.76837e-10	50.0	-3.05813e-11	0.0
4.92334e-10	51.0	-2.66162e-11	0.0
5.14984e-10	52.0	-3.28192e-11	0.0
5.37634e-10	53.0	-2.94378e-11	0.0
5.54323e-10	54.0	-3.26372e-11	0.0
5.85318e-10	55.0	-3.50884e-11	0.0
6.10352e-10	56.0	-3.22061e-11	0.0
6.46114e-10	57.0	-3.75864e-11	0.0
6.81877e-10	58.0	-3.39502e-11	0.0
7.00951e-10	59.0	-3.96101e-11	0.0
7.4029e-10	60.0	-3.89494e-11	0.0
7.61747e-10	61.0	-4.04111e-11	0.0
8.10623e-10	62.0	-4.27251e-11	0.0
8.47578e-10	63.0	-3.99191e-11	0.0
8.80957e-10	64.0	-4.56193e-11	0.0
9.19104e-10	65.0	-4.18556e-11	0.0
9.60827e-10	66.0	-4.80482e-11	0.0
9.81092e-10	67.0	-4.82011e-11	0.0
1.03474e-09	68.0	-4.62694e-11	0.0
1.0705e-09	69.0	-5.1486e-11	0.0
1.1301e-09	70.0	-4.81357e-11	0.0
1.16706e-09	71.0	-5.39594e-11	0.0
1.21713e-09	72.0	-5.0469e-11	0.0
1.26004e-09	73.0	-5.70367e-11	0.0
1.30653e-09	74.0	-5.74422e-11	0.0
1.36256e-09	75.0	-5.54565e-11	0.0
1.4174e-09	76.0	-6.08013e-11	0.0
1.45674e-09	77.0	-5.71109e-11	0.0
1.51277e-09	78.0	-6.43195e-11	0.0
1.55807e-09	79.0	-6.17322e-11	0.0
1.64866e-09	80.0	-6.56317e-11	0.0
1.70708e-09	81.0	-6.61546e-11	0.0
1.74761e-09	82.0	-6.49737e-11	0.0
1.81913e-09	83.0	-6.97118e-11	0.0
1.87278e-09	84.0	-6.66589e-11	0.0
1.9455e-09	85.0	-7.36192e-11	0.0
2.00391e-09	86.0	-7.04896e-11	0.0
2.08259e-09	87.0	-7.38639e-11	0.0
2.1553e-09	88.0	-7.66944e-11	0.0
2.21968e-09	89.0	-7.40811e-11	0.0
2.27928e-09	90.0	-7.97979e-11	0.0
2.36392e-09	91.0	-7.6469e-11	0.0
2.43664e-09	92.0	-8.33398e-11	0.0
2.53201e-09	93.0	-8.02376e-11	0.0
2.60949e-09	94.0	-8.38584e-11	0.0
2.67863e-09	95.0	-8.60955e-11	0.0
2.76566e-09	96.0	-8.39212e-11	0.0
2.84672e-09	97.0	-8.96363e-11	0.0
2.9397e-09	98.0	-8.61168e-11	0.0
3.02196e-09	99.0	-9.22416e-11	0.0
3.12924e-09	100.0	-9.12003e-11	0.0
5.84126e-11	0.0	5.73032e-11	30.0
6.91414e-11	1.0	5.47274e-11	30.0
6.79493e-11	2.0	4.73809e-11	30.0
6.79493e-11	3.0	4.75136e-11	30.0
7.86781e-11	4.0	3.94428e-11	30.0
7.51018e-11	5.0	4.13138e-11	30.0
7.86781e-11	6.0	3.418e-11	30.0
9.53674e-11	7.0	3.01857e-11	30.0
8.9407e-11	8.0	3.09393e-11	30.0
9.29832e-11	9.0	2.34981e-11	30.0
1.19209e-10	10.0	2.6678e-11	30.0
1.23978e-10	11.0	1.92632e-11	30.0
1.29938e-10	12.0	2.22256e-11	30.0
1.27554e-10	13.0	1.73804e-11	30.0
1.19209e-10	14.0	1.52554e-11	30.0
1.27554e-10	15.0	1.76899e-11	30.0
1.41859e-10	16.0	1.26256e-11	30.0
1.27554e-10	17.0	1.6824e-11	30.0
1.35899e-10	18.0	1.18297e-11	30.0
1.33514e-10	19.0	1.30078e-11	30.0
1.21593e-10	20.0	1.52989e-11	30.0
1.51396e-10	21.0	1.34601e-11	30.0
1.57356e-10	22.0	1.68456e-11	30.0
1.58548e-10	23.0	1.25415e-11	30.0
1.50204e-10	24.0	1.74555e-11	30.0
1.50204e-10	25.0	1.20185e-11	30.0
1.41859e-10	26.0	1.32488e-11	30.0
1.4782e-10	27.0	1.5964e-11	30.0
1.49012e-10	28.0	1.17331e-11	30.0
1.50204e-10	29.0	1.59222e-11	30.0
