Channel Current [A]	Channel Voltage [V]	Gate Leakage [A]	Gate Voltage [V]
-5.96493e-06	-50.0	-1.30302e-08	-100.0
-5.67627e-06	-50.0	-1.05078e-08	-98.0
-5.39551e-06	-50.0	-8.50798e-09	-96.0
-5.11943e-06	-50.0	-6.78458e-09	-94.0
-4.84886e-06	-50.0	-5.27854e-09	-92.0
-4.58301e-06	-50.0	-3.93359e-09	-90.0
-4.32163e-06	-50.0	-2.73397e-09	-88.0
-4.06537e-06	-50.0	-1.65828e-09	-86.0
-3.81358e-06	-50.0	-9.09296e-10	-84.0
-3.56741e-06	-50.0	-4.32655e-10	-82.0
-3.32617e-06	-50.0	5.33674e-10	-80.0
-3.09007e-06	-50.0	1.28286e-09	-78.0
-2.86154e-06	-50.0	2.13019e-09	-76.0
-2.6396e-06	-50.0	2.81794e-09	-74.0
-2.42639e-06	-50.0	3.40325e-09	-72.0
-2.22155e-06	-50.0	3.92082e-09	-70.0
-2.02523e-06	-50.0	4.36366e-09	-68.0
-1.83827e-06	-50.0	4.73091e-09	-66.0
-1.66055e-06	-50.0	5.03878e-09	-64.0
-1.49256e-06	-50.0	5.29247e-09	-62.0
-1.33422e-06	-50.0	5.52051e-09	-60.0
-1.18541e-06	-50.0	5.68827e-09	-58.0
-1.04664e-06	-50.0	5.83586e-09	-56.0
-9.173e-07	-50.0	5.92505e-09	-54.0
-7.97999e-07	-50.0	5.99779e-09	-52.0
-6.88428e-07	-50.0	6.03104e-09	-50.0
-5.884e-07	-50.0	6.03677e-09	-48.0
-4.97877e-07	-50.0	6.01951e-09	-46.0
-4.16527e-07	-50.0	5.97916e-09	-44.0
-3.44129e-07	-50.0	5.91512e-09	-42.0
-2.80495e-07	-50.0	5.81271e-09	-40.0
-2.25093e-07	-50.0	5.69941e-09	-38.0
-1.77874e-07	-50.0	5.56353e-09	-36.0
-1.38161e-07	-50.0	5.42345e-09	-34.0
-1.05563e-07	-50.0	5.26865e-09	-32.0
-7.94967e-08	-50.0	5.10437e-09	-30.0
-5.89521e-08	-50.0	4.93659e-09	-28.0
-4.33102e-08	-50.0	4.75987e-09	-26.0
-3.16124e-08	-50.0	4.58121e-09	-24.0
-2.30439e-08	-50.0	4.41353e-09	-22.0
-1.68407e-08	-50.0	4.25772e-09	-20.0
-1.23925e-08	-50.0	4.12084e-09	-18.0
-9.23377e-09	-50.0	3.95208e-09	-16.0
-6.99404e-09	-50.0	3.81824e-09	-14.0
-5.40832e-09	-50.0	3.69291e-09	-12.0
-4.27703e-09	-50.0	3.5702e-09	-10.0
-3.4704e-09	-50.0	3.44425e-09	-8.0
-2.88777e-09	-50.0	3.33601e-09	-6.0
-2.4594e-09	-50.0	3.24755e-09	-4.0
-2.14439e-09	-50.0	3.13239e-09	-2.0
-1.90182e-09	-50.0	3.04188e-09	0.0
-1.71029e-09	-50.0	2.9635e-09	2.0
-1.55985e-09	-50.0	2.87629e-09	4.0
-1.43849e-09	-50.0	2.79263e-09	6.0
-1.34275e-09	-50.0	2.72059e-09	8.0
-1.24545e-09	-50.0	2.65539e-09	10.0
-1.16259e-09	-50.0	2.57139e-09	12.0
-1.09734e-09	-50.0	2.51038e-09	14.0
-1.03339e-09	-50.0	2.45677e-09	16.0
-9.75281e-10	-50.0	2.36201e-09	18.0
-9.22457e-10	-50.0	2.28855e-09	20.0
-8.72906e-10	-50.0	2.2035e-09	22.0
-8.28568e-10	-50.0	2.14807e-09	24.0
-7.88402e-10	-50.0	2.06786e-09	26.0
-7.51374e-10	-50.0	2.01635e-09	28.0
-7.17425e-10	-50.0	1.94367e-09	30.0
-6.8697e-10	-50.0	1.90393e-09	32.0
-6.59196e-10	-50.0	1.83485e-09	34.0
-6.33592e-10	-50.0	1.79604e-09	36.0
-6.09611e-10	-50.0	1.73244e-09	38.0
-5.88031e-10	-50.0	1.69549e-09	40.0
-5.67754e-10	-50.0	1.64162e-09	42.0
-5.48791e-10	-50.0	1.60329e-09	44.0
-5.31621e-10	-50.0	1.56053e-09	46.0
-5.15108e-10	-50.0	1.52204e-09	48.0
-4.9985e-10	-50.0	1.47786e-09	50.0
-4.85699e-10	-50.0	1.44567e-09	52.0
-4.72109e-10	-50.0	1.41971e-09	54.0
-4.59223e-10	-50.0	1.37969e-09	56.0
-4.46796e-10	-50.0	1.35687e-09	58.0
-4.35766e-10	-50.0	1.31716e-09	60.0
-4.24613e-10	-50.0	1.29528e-09	62.0
-4.14512e-10	-50.0	1.2622e-09	64.0
-4.04744e-10	-50.0	1.23965e-09	66.0
-3.95477e-10	-50.0	1.20365e-09	68.0
-3.8632e-10	-50.0	1.18844e-09	70.0
-3.77955e-10	-50.0	1.15616e-09	72.0
-3.6989e-10	-50.0	1.1465e-09	74.0
-3.62227e-10	-50.0	1.11187e-09	76.0
-3.54314e-10	-50.0	1.0995e-09	78.0
-3.47113e-10	-50.0	1.06923e-09	80.0
-3.40172e-10	-50.0	1.0595e-09	82.0
-3.33605e-10	-50.0	1.02378e-09	84.0
-3.27452e-10	-50.0	1.01955e-09	86.0
-3.2065e-10	-50.0	9.83446e-10	88.0
-3.12737e-10	-50.0	9.62386e-10	90.0
-3.05712e-10	-50.0	9.47347e-10	92.0
-2.98808e-10	-50.0	9.18904e-10	94.0
-2.92215e-10	-50.0	8.98985e-10	96.0
-2.86078e-10	-50.0	8.8621e-10	98.0
-2.79753e-10	-50.0	8.6044e-10	100.0
