Channel Current [A]	Channel Voltage [V]
-4.76837e-11	0.0
4.52995e-11	1.0
1.57356e-10	2.0
2.76566e-10	3.0
4.36306e-10	4.0
6.13928e-10	5.0
8.2016e-10	6.0
1.07408e-09	7.0
1.36852e-09	8.0
1.74046e-09	9.0
2.17795e-09	10.0
2.70724e-09	11.0
3.33786e-09	12.0
4.11272e-09	13.0
5.04851e-09	14.0
6.14643e-09	15.0
7.50303e-09	16.0
9.10044e-09	17.0
1.10126e-08	18.0
1.33169e-08	19.0
1.60587e-08	20.0
1.93286e-08	21.0
2.31802e-08	22.0
2.77317e-08	23.0
3.31318e-08	24.0
3.94058e-08	25.0
4.6761e-08	26.0
5.52583e-08	27.0
6.51097e-08	28.0
7.63559e-08	29.0
8.91674e-08	30.0
1.03601e-07	31.0
1.19888e-07	32.0
1.3795e-07	33.0
1.58037e-07	34.0
1.80113e-07	35.0
2.04294e-07	36.0
2.30664e-07	37.0
2.59302e-07	38.0
2.90109e-07	39.0
3.23396e-07	40.0
3.58915e-07	41.0
3.97032e-07	42.0
4.37452e-07	43.0
4.80491e-07	44.0
5.25963e-07	45.0
5.74169e-07	46.0
6.25001e-07	47.0
6.78302e-07	48.0
7.34454e-07	49.0
7.9312e-07	50.0
8.54703e-07	51.0
9.18831e-07	52.0
9.8596e-07	53.0
1.05563e-06	54.0
1.12841e-06	55.0
1.20377e-06	56.0
1.28225e-06	57.0
1.36333e-06	58.0
1.44744e-06	59.0
1.53441e-06	60.0
1.62462e-06	61.0
1.71748e-06	62.0
1.81353e-06	63.0
1.9124e-06	64.0
2.0145e-06	65.0
2.11933e-06	66.0
2.22759e-06	67.0
2.33848e-06	68.0
2.45285e-06	69.0
2.56994e-06	70.0
2.69052e-06	71.0
2.81374e-06	72.0
2.94059e-06	73.0
3.07016e-06	74.0
3.20327e-06	75.0
3.33903e-06	76.0
3.4785e-06	77.0
3.62063e-06	78.0
3.76648e-06	79.0
3.91501e-06	80.0
4.06739e-06	81.0
4.22233e-06	82.0
4.38113e-06	83.0
4.54254e-06	84.0
4.70789e-06	85.0
4.87586e-06	86.0
5.04766e-06	87.0
5.22163e-06	88.0
5.40008e-06	89.0
5.5813e-06	90.0
5.76636e-06	91.0
5.95413e-06	92.0
6.14593e-06	93.0
6.34097e-06	94.0
6.53879e-06	95.0
6.74059e-06	96.0
6.945e-06	97.0
7.15341e-06	98.0
7.36459e-06	99.0
7.57989e-06	100.0
