Channel Current [A]	Channel Voltage [V]	Gate Leakage [A]	Gate Voltage [V]
-6.35759e-06	-50.0	-1.54244e-08	-100.0
-6.06601e-06	-50.0	-1.26895e-08	-98.0
-5.78261e-06	-50.0	-1.04904e-08	-96.0
-5.50439e-06	-50.0	-8.62963e-09	-94.0
-5.23113e-06	-50.0	-6.98663e-09	-92.0
-4.96241e-06	-50.0	-5.50581e-09	-90.0
-4.69769e-06	-50.0	-4.1775e-09	-88.0
-4.43752e-06	-50.0	-2.969e-09	-86.0
-4.18132e-06	-50.0	-1.87279e-09	-84.0
-3.92993e-06	-50.0	-1.14896e-09	-82.0
-3.68321e-06	-50.0	-4.96421e-10	-80.0
-3.44052e-06	-50.0	4.41115e-10	-78.0
-3.20312e-06	-50.0	1.19337e-09	-76.0
-2.97179e-06	-50.0	2.05203e-09	-74.0
-2.74723e-06	-50.0	2.76029e-09	-72.0
-2.53014e-06	-50.0	3.35826e-09	-70.0
-2.32082e-06	-50.0	3.88523e-09	-68.0
-2.12031e-06	-50.0	4.33889e-09	-66.0
-1.92829e-06	-50.0	4.72367e-09	-64.0
-1.74583e-06	-50.0	5.0623e-09	-62.0
-1.57268e-06	-50.0	5.33118e-09	-60.0
-1.40898e-06	-50.0	5.54575e-09	-58.0
-1.2553e-06	-50.0	5.72103e-09	-56.0
-1.1112e-06	-50.0	5.88567e-09	-54.0
-9.77116e-07	-50.0	5.99782e-09	-52.0
-8.52859e-07	-50.0	6.10632e-09	-50.0
-7.38122e-07	-50.0	6.14765e-09	-48.0
-6.33214e-07	-50.0	6.16e-09	-46.0
-5.37658e-07	-50.0	6.15233e-09	-44.0
-4.51584e-07	-50.0	6.11268e-09	-42.0
-3.74663e-07	-50.0	6.04909e-09	-40.0
-3.0645e-07	-50.0	5.97235e-09	-38.0
-2.46932e-07	-50.0	5.89577e-09	-36.0
-1.95562e-07	-50.0	5.76509e-09	-34.0
-1.52196e-07	-50.0	5.62764e-09	-32.0
-1.16144e-07	-50.0	5.46584e-09	-30.0
-8.71085e-08	-50.0	5.30431e-09	-28.0
-6.40874e-08	-50.0	5.13176e-09	-26.0
-4.6428e-08	-50.0	4.97162e-09	-24.0
-3.33016e-08	-50.0	4.79023e-09	-22.0
-2.37261e-08	-50.0	4.60875e-09	-20.0
-1.69749e-08	-50.0	4.4349e-09	-18.0
-1.22408e-08	-50.0	4.28811e-09	-16.0
-8.95421e-09	-50.0	4.17701e-09	-14.0
-6.69526e-09	-50.0	3.97871e-09	-12.0
-5.12383e-09	-50.0	3.83912e-09	-10.0
-4.036e-09	-50.0	3.70963e-09	-8.0
-3.27656e-09	-50.0	3.58611e-09	-6.0
-2.74229e-09	-50.0	3.45871e-09	-4.0
-2.34845e-09	-50.0	3.35553e-09	-2.0
-2.06246e-09	-50.0	3.26846e-09	0.0
-1.8453e-09	-50.0	3.15961e-09	2.0
-1.67178e-09	-50.0	3.05793e-09	4.0
-1.5339e-09	-50.0	3.00077e-09	6.0
-1.42405e-09	-50.0	2.89949e-09	8.0
-1.32865e-09	-50.0	2.80911e-09	10.0
-1.24003e-09	-50.0	2.73965e-09	12.0
-1.1718e-09	-50.0	2.74106e-09	14.0
-1.10659e-09	-50.0	2.60128e-09	16.0
-1.05024e-09	-50.0	2.53466e-09	18.0
-9.91918e-10	-50.0	2.44277e-09	20.0
-9.40917e-10	-50.0	2.35956e-09	22.0
-8.93293e-10	-50.0	2.28176e-09	24.0
-8.5082e-10	-50.0	2.20935e-09	26.0
-8.11567e-10	-50.0	2.1421e-09	28.0
-7.75867e-10	-50.0	2.06859e-09	30.0
-7.42801e-10	-50.0	2.01527e-09	32.0
-7.13302e-10	-50.0	1.95377e-09	34.0
-6.85599e-10	-50.0	1.89736e-09	36.0
-6.60499e-10	-50.0	1.83098e-09	38.0
-6.36387e-10	-50.0	1.79609e-09	40.0
-6.14397e-10	-50.0	1.73435e-09	42.0
-5.94009e-10	-50.0	1.79151e-09	44.0
-5.75432e-10	-50.0	1.6377e-09	46.0
-5.5801e-10	-50.0	1.60518e-09	48.0
-5.40814e-10	-50.0	1.55333e-09	50.0
-5.25118e-10	-50.0	1.53628e-09	52.0
-5.10343e-10	-50.0	1.47549e-09	54.0
-4.96689e-10	-50.0	1.44767e-09	56.0
-4.83174e-10	-50.0	1.41864e-09	58.0
-4.70466e-10	-50.0	1.37967e-09	60.0
-4.58896e-10	-50.0	1.35304e-09	62.0
-4.47455e-10	-50.0	1.31597e-09	64.0
-4.36216e-10	-50.0	1.29528e-09	66.0
-4.2607e-10	-50.0	1.26167e-09	68.0
-4.15839e-10	-50.0	1.2373e-09	70.0
-4.0656e-10	-50.0	1.20499e-09	72.0
-3.97677e-10	-50.0	1.19055e-09	74.0
-3.89096e-10	-50.0	1.16343e-09	76.0
-3.80831e-10	-50.0	1.1398e-09	78.0
-3.72493e-10	-50.0	1.11049e-09	80.0
-3.65135e-10	-50.0	1.09968e-09	82.0
-3.5743e-10	-50.0	1.05915e-09	84.0
-3.50467e-10	-50.0	1.06426e-09	86.0
-3.43635e-10	-50.0	1.023e-09	88.0
-3.36856e-10	-50.0	1.02079e-09	90.0
-3.30412e-10	-50.0	9.85346e-10	92.0
-3.22512e-10	-50.0	9.63707e-10	94.0
-3.15097e-10	-50.0	9.63059e-10	96.0
-3.08155e-10	-50.0	9.1818e-10	98.0
-3.01081e-10	-50.0	8.98579e-10	100.0
