,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-19.6,10.0,1.92403e-06
1,-19.2,10.0,1.91941e-06
2,-18.8,10.0,1.91862e-06
3,-18.4,10.0,1.91801e-06
4,-18.0,10.0,1.91758e-06
5,-17.6,10.0,1.9171e-06
6,-17.2,10.0,1.91697e-06
7,-16.8,10.0,1.91633e-06
8,-16.4,10.0,1.91604e-06
9,-16.0,10.0,1.91591e-06
10,-15.6,10.0,1.9158e-06
11,-15.2,10.0,1.91581e-06
12,-14.8,10.0,1.9164e-06
13,-14.4,10.0,1.91697e-06
14,-14.0,10.0,1.91726e-06
15,-13.6,10.0,1.91738e-06
16,-13.2,10.0,1.91746e-06
17,-12.8,10.0,1.91743e-06
18,-12.4,10.0,1.91721e-06
19,-12.0,10.0,1.91691e-06
20,-11.6,10.0,1.91674e-06
21,-11.2,10.0,1.91657e-06
22,-10.8,10.0,1.91632e-06
23,-10.4,10.0,1.91612e-06
24,-10.0,10.0,1.91614e-06
25,-9.6,10.0,1.91622e-06
26,-9.2,10.0,1.91625e-06
27,-8.8,10.0,1.91622e-06
28,-8.4,10.0,1.91607e-06
29,-8.0,10.0,1.91589e-06
30,-7.6,10.0,1.91572e-06
31,-7.2,10.0,1.91554e-06
32,-6.8,10.0,1.91549e-06
33,-6.4,10.0,1.9157e-06
34,-6.0,10.0,1.91594e-06
35,-5.6,10.0,1.91618e-06
36,-5.2,10.0,1.91631e-06
37,-4.8,10.0,1.91647e-06
38,-4.4,10.0,1.91625e-06
39,-4.0,10.0,1.91599e-06
40,-3.6,10.0,1.91572e-06
41,-3.2,10.0,1.91561e-06
42,-2.8,10.0,1.91551e-06
43,-2.4,10.0,1.91543e-06
44,-2.0,10.0,1.91541e-06
45,-1.6,10.0,1.91555e-06
46,-1.2,10.0,1.91566e-06
47,-0.799999,10.0,1.91571e-06
48,-0.4,10.0,1.91567e-06
49,0.0,10.0,1.91564e-06
50,0.4,10.0,1.91551e-06
51,0.800001,10.0,1.91538e-06
52,1.2,10.0,1.91531e-06
53,1.6,10.0,1.91525e-06
54,2.0,10.0,1.91511e-06
55,2.4,10.0,1.91497e-06
56,2.8,10.0,1.91482e-06
57,3.2,10.0,1.91465e-06
58,3.6,10.0,1.91454e-06
59,4.0,10.0,1.91446e-06
60,4.4,10.0,1.91439e-06
61,4.8,10.0,1.91433e-06
62,5.2,10.0,1.91423e-06
63,5.6,10.0,1.91426e-06
64,6.0,10.0,1.91421e-06
65,6.4,10.0,1.91419e-06
66,6.8,10.0,1.91437e-06
67,7.2,10.0,1.91467e-06
68,7.6,10.0,1.91485e-06
69,8.0,10.0,1.91487e-06
70,8.4,10.0,1.9148e-06
71,8.8,10.0,1.91486e-06
72,9.2,10.0,1.915e-06
73,9.6,10.0,1.91499e-06
74,10.0,10.0,1.91484e-06
75,10.4,10.0,1.91467e-06
76,10.8,10.0,1.91466e-06
77,11.2,10.0,1.91467e-06
78,11.6,10.0,1.91458e-06
79,12.0,10.0,1.91456e-06
80,12.4,10.0,1.91447e-06
81,12.8,10.0,1.91435e-06
82,13.2,10.0,1.91423e-06
83,13.6,10.0,1.91414e-06
84,14.0,10.0,1.91402e-06
85,14.4,10.0,1.91397e-06
86,14.8,10.0,1.91391e-06
87,15.2,10.0,1.91387e-06
88,15.6,10.0,1.91392e-06
89,16.0,10.0,1.91392e-06
90,16.4,10.0,1.9139e-06
91,16.8,10.0,1.91379e-06
92,17.2,10.0,1.91368e-06
93,17.6,10.0,1.91363e-06
94,18.0,10.0,1.91364e-06
95,18.4,10.0,1.91356e-06
96,18.8,10.0,1.91353e-06
97,19.2,10.0,1.91359e-06
98,19.6,10.0,1.91394e-06
99,20.0,10.0,1.91441e-06
