,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-19.6,5.0,8.57757e-07
1,-19.2,5.0,8.56472e-07
2,-18.8,5.0,8.56316e-07
3,-18.4,5.0,8.56202e-07
4,-18.0,5.0,8.56138e-07
5,-17.6,5.0,8.56035e-07
6,-17.2,5.0,8.55995e-07
7,-16.8,5.0,8.56009e-07
8,-16.4,5.0,8.56024e-07
9,-16.0,5.0,8.55942e-07
10,-15.6,5.0,8.55849e-07
11,-15.2,5.0,8.55784e-07
12,-14.8,5.0,8.55721e-07
13,-14.4,5.0,8.55708e-07
14,-14.0,5.0,8.557e-07
15,-13.6,5.0,8.5567e-07
16,-13.2,5.0,8.55659e-07
17,-12.8,5.0,8.55735e-07
18,-12.4,5.0,8.55696e-07
19,-12.0,5.0,8.5564e-07
20,-11.6,5.0,8.55511e-07
21,-11.2,5.0,8.55505e-07
22,-10.8,5.0,8.55577e-07
23,-10.4,5.0,8.55634e-07
24,-10.0,5.0,8.55751e-07
25,-9.6,5.0,8.55793e-07
26,-9.2,5.0,8.55838e-07
27,-8.8,5.0,8.55794e-07
28,-8.4,5.0,8.55735e-07
29,-8.0,5.0,8.557e-07
30,-7.6,5.0,8.55697e-07
31,-7.2,5.0,8.55737e-07
32,-6.8,5.0,8.55745e-07
33,-6.4,5.0,8.55802e-07
34,-6.0,5.0,8.55802e-07
35,-5.6,5.0,8.55817e-07
36,-5.2,5.0,8.55778e-07
37,-4.8,5.0,8.5579e-07
38,-4.4,5.0,8.55707e-07
39,-4.0,5.0,8.55727e-07
40,-3.6,5.0,8.55913e-07
41,-3.2,5.0,8.56001e-07
42,-2.8,5.0,8.56029e-07
43,-2.4,5.0,8.5597e-07
44,-2.0,5.0,8.55904e-07
45,-1.6,5.0,8.55869e-07
46,-1.2,5.0,8.55863e-07
47,-0.799999,5.0,8.55799e-07
48,-0.4,5.0,8.55745e-07
49,0.0,5.0,8.55674e-07
50,0.4,5.0,8.55726e-07
51,0.800001,5.0,8.55722e-07
52,1.2,5.0,8.55724e-07
53,1.6,5.0,8.55719e-07
54,2.0,5.0,8.55635e-07
55,2.4,5.0,8.55654e-07
56,2.8,5.0,8.55708e-07
57,3.2,5.0,8.55861e-07
58,3.6,5.0,8.56047e-07
59,4.0,5.0,8.56111e-07
60,4.4,5.0,8.56125e-07
61,4.8,5.0,8.56072e-07
62,5.2,5.0,8.56067e-07
63,5.6,5.0,8.56036e-07
64,6.0,5.0,8.55989e-07
65,6.4,5.0,8.5598e-07
66,6.8,5.0,8.55944e-07
67,7.2,5.0,8.55961e-07
68,7.6,5.0,8.55946e-07
69,8.0,5.0,8.55905e-07
70,8.4,5.0,8.55806e-07
71,8.8,5.0,8.55739e-07
72,9.2,5.0,8.55726e-07
73,9.6,5.0,8.55666e-07
74,10.0,5.0,8.5564e-07
75,10.4,5.0,8.55633e-07
76,10.8,5.0,8.5564e-07
77,11.2,5.0,8.55606e-07
78,11.6,5.0,8.55619e-07
79,12.0,5.0,8.55546e-07
80,12.4,5.0,8.55478e-07
81,12.8,5.0,8.55465e-07
82,13.2,5.0,8.55464e-07
83,13.6,5.0,8.55581e-07
84,14.0,5.0,8.55713e-07
85,14.4,5.0,8.55782e-07
86,14.8,5.0,8.55824e-07
87,15.2,5.0,8.5578e-07
88,15.6,5.0,8.55764e-07
89,16.0,5.0,8.55726e-07
90,16.4,5.0,8.5572e-07
91,16.8,5.0,8.55689e-07
92,17.2,5.0,8.55639e-07
93,17.6,5.0,8.55666e-07
94,18.0,5.0,8.55716e-07
95,18.4,5.0,8.55735e-07
96,18.8,5.0,8.55676e-07
97,19.2,5.0,8.55597e-07
98,19.6,5.0,8.55496e-07
99,20.0,5.0,8.55476e-07
